key,zh,en,file,line
"zh_e68e92e69c9fe78a","排期状态筛选","","packages/admin/src/views/career/job-overview/components/AssignMentorModal.vue",64
"zh_e58886e9858de5af","分配导师弹窗排期状态筛选","","packages/admin/src/views/career/job-overview/components/AssignMentorModal.vue",65
"zh_e4b8bbe694bbe696","主攻方向筛选","","packages/admin/src/views/career/job-overview/components/AssignMentorModal.vue",75
"zh_e58886e9858de5af","分配导师弹窗主攻方向筛选","","packages/admin/src/views/career/job-overview/components/AssignMentorModal.vue",76
"zh_e5afbce5b888e690","导师搜索","","packages/admin/src/views/career/job-overview/components/AssignMentorModal.vue",84
"zh_e58886e9858de5af","分配导师弹窗导师搜索","","packages/admin/src/views/career/job-overview/components/AssignMentorModal.vue",85
"zh_e58886e9858de5af","分配导师弹窗","","packages/admin/src/views/career/job-overview/components/AssignMentorModal.vue",126
"zh_e5a487e6b3a8","备注","","packages/admin/src/views/career/job-overview/components/AssignMentorModal.vue",154
"zh_e58886e9858de5af","分配导师弹窗备注","","packages/admin/src/views/career/job-overview/components/AssignMentorModal.vue",155
"zh_e68980e69c89e5ad","所有学员的岗位追踪","","packages/admin/src/views/career/job-tracking/index.vue",3
"zh_e69da1e5b297e4bd","条岗位记录","","packages/admin/src/views/career/job-tracking/index.vue",5
"zh_e69da1e99da2e8af","条面试中","","packages/admin/src/views/career/job-tracking/index.vue",5
"zh_e5ada6e59198e5a7","学员姓名","","packages/admin/src/views/career/job-tracking/index.vue",20
"zh_e6909ce7b4a2e5ad","搜索学员","","packages/admin/src/views/career/job-tracking/index.vue",21
"zh_e78fade4b8bbe4bb","班主任","","packages/admin/src/views/career/job-tracking/index.vue",23
"zh_e78ab6e68081","状态","","packages/admin/src/views/career/job-tracking/index.vue",26
"zh_e585a8e983a8","全部","","packages/admin/src/views/career/job-tracking/index.vue",27
"zh_e8bfbde8b8aae4b8","追踪中","","packages/admin/src/views/career/job-tracking/index.vue",28
"zh_e5b7b2e794b3e8af","已申请","","packages/admin/src/views/career/job-tracking/index.vue",29
"zh_e99da2e8af95e4b8","面试中","","packages/admin/src/views/career/job-tracking/index.vue",30
"zh_e5b7b2e88eb7","已获","","packages/admin/src/views/career/job-tracking/index.vue",31
"zh_e5b7b2e68b92e7bb","已拒绝","","packages/admin/src/views/career/job-tracking/index.vue",32
"zh_e585ace58fb8","公司","","packages/admin/src/views/career/job-tracking/index.vue",35
"zh_e6909ce7b4a2e585","搜索公司","","packages/admin/src/views/career/job-tracking/index.vue",36
"zh_e59cb0e782b9","地点","","packages/admin/src/views/career/job-tracking/index.vue",38
"zh_e6909ce7b4a2e59f","搜索城市 / 地区","","packages/admin/src/views/career/job-tracking/index.vue",39
"zh_e6909ce7b4a2","搜索","","packages/admin/src/views/career/job-tracking/index.vue",45
"zh_e9878de7bdae","重置","","packages/admin/src/views/career/job-tracking/index.vue",47
"zh_e5bd93e5898de7ad","当前筛选条件下暂无岗位追踪记录","","packages/admin/src/views/career/job-tracking/index.vue",60
"zh_e69caae58886e985","未分配","","packages/admin/src/views/career/job-tracking/index.vue",71
"zh_e6848fe59091e5af","意向导师未填","","packages/admin/src/views/career/job-tracking/index.vue",85
"zh_e7bc96e8be91","编辑","","packages/admin/src/views/career/job-tracking/index.vue",89
"zh_e69bb4e696b0e6b1","更新求职状态","","packages/admin/src/views/career/job-tracking/index.vue",97
"zh_e4bf9de5ad98e69b","保存更新","","packages/admin/src/views/career/job-tracking/index.vue",99
"zh_e58f96e6b688","取消","","packages/admin/src/views/career/job-tracking/index.vue",100
"zh_e5bd93e5898de78a","当前状态","","packages/admin/src/views/career/job-tracking/index.vue",106
"zh_e69caae794b3e8af","未申请","","packages/admin/src/views/career/job-tracking/index.vue",108
"zh_e99da2e8af95e998","面试阶段","","packages/admin/src/views/career/job-tracking/index.vue",118
"zh_e99da2e8af95e697","面试时间","","packages/admin/src/views/career/job-tracking/index.vue",125
"zh_e98089e68ba9e99d","选择面试时间","","packages/admin/src/views/career/job-tracking/index.vue",126
"zh_e6848fe59091e5af","意向导师","","packages/admin/src/views/career/job-tracking/index.vue",128
"zh_e68e92e999a4e5af","排除导师","","packages/admin/src/views/career/job-tracking/index.vue",131
"zh_e8a1a5e58585e8b7","补充跟进说明","","packages/admin/src/views/career/job-tracking/index.vue",137
"zh_e5ada6e59198","学员","","packages/admin/src/views/career/job-tracking/index.vue",158
"zh_e5afbce5b888","导师","","packages/admin/src/views/career/job-tracking/index.vue",159
"zh_e5b297e4bd8d","岗位","","packages/admin/src/views/career/job-tracking/index.vue",161
"zh_e6938de4bd9c","操作","","packages/admin/src/views/career/job-tracking/index.vue",165
"zh_e585a8e983a8e5ad","全部学员","","packages/admin/src/views/career/job-tracking/index.vue",215
"zh_e594afe4b880e5ad","唯一学员数","","packages/admin/src/views/career/job-tracking/index.vue",215
"zh_e5b7b2e68a95e980","已投递待推进","","packages/admin/src/views/career/job-tracking/index.vue",216
"zh_e99c80e8b79fe8bf","需跟进排期","","packages/admin/src/views/career/job-tracking/index.vue",217
"zh_e8bdace58c96e5ae","转化完成","","packages/admin/src/views/career/job-tracking/index.vue",218
"zh_e5be85e5a48de79b","待复盘","","packages/admin/src/views/career/job-tracking/index.vue",219
"zh_e5b297e4bd8de8bf","岗位追踪加载失败","","packages/admin/src/views/career/job-tracking/index.vue",230
"zh_e5b297e4bd8de8bf","岗位追踪已更新","","packages/admin/src/views/career/job-tracking/index.vue",276
"zh_e5b297e4bd8de8bf","岗位追踪更新失败","","packages/admin/src/views/career/job-tracking/index.vue",281
"zh_e5a484e79086e6a8","处理模拟应聘申请","","packages/admin/src/views/career/mock-practice/components/AssignMockModal.vue",12
"zh_e5be85e58886e985","待分配学员","","packages/admin/src/views/career/mock-practice/components/AssignMockModal.vue",19
"zh_e5bbbae8aeaee5af","建议导师","","packages/admin/src/views/career/mock-practice/components/AssignMockModal.vue",24
"zh_e5afbce5b888e580","导师候选池","","packages/admin/src/views/career/mock-practice/components/AssignMockModal.vue",34
"zh_e6848fe59091e5af","意向导师优先默认勾选，可继续补充分配导师","","packages/admin/src/views/career/mock-practice/components/AssignMockModal.vue",35
"zh_e694afe68c81e5a4","支持多导师","","packages/admin/src/views/career/mock-practice/components/AssignMockModal.vue",37
"zh_e5bd93e5898de6b2","当前没有可分配导师，请先补充导师目录","","packages/admin/src/views/career/mock-practice/components/AssignMockModal.vue",64
"zh_e9a284e7baa6e697","预约时间","","packages/admin/src/views/career/mock-practice/components/AssignMockModal.vue",69
"zh_e98089e68ba9e9a2","选择预约时间","","packages/admin/src/views/career/mock-practice/components/AssignMockModal.vue",75
"zh_e5a487e6b3a8e8af","备注说明","","packages/admin/src/views/career/mock-practice/components/AssignMockModal.vue",81
"zh_e4be8be5a682efbc","例如：先安排行为面模拟，下一次补","","packages/admin/src/views/career/mock-practice/components/AssignMockModal.vue",86
"zh_e68f90e4baa4e4b8","提交中","","packages/admin/src/views/career/mock-practice/components/AssignMockModal.vue",94
"zh_e7a1aee8aea4e5ae","确认安排","","packages/admin/src/views/career/mock-practice/components/AssignMockModal.vue",94
"zh_e69a82e697a0e684","暂无意向导师","","packages/admin/src/views/career/mock-practice/components/AssignMockModal.vue",144
"zh_e8afb7e887b3e5b0","请至少选择1位导师","","packages/admin/src/views/career/mock-practice/components/AssignMockModal.vue",182
"zh_e8afb7e98089e68b","请选择预约时间","","packages/admin/src/views/career/mock-practice/components/AssignMockModal.vue",186
"zh_e6a8a1e68b9fe99d","模拟面试","","packages/admin/src/views/career/mock-practice/components/AssignMockModal.vue",201
"zh_e4babae99985e585","人际关系测试","","packages/admin/src/views/career/mock-practice/components/AssignMockModal.vue",202
"zh_e69c9fe4b8ade880","期中考试","","packages/admin/src/views/career/mock-practice/components/AssignMockModal.vue",203
"zh_e6a8a1e68b9fe5ba","模拟应聘","","packages/admin/src/views/career/mock-practice/components/AssignMockModal.vue",204
"zh_e69fa5e79c8be6a8","查看模拟反馈","","packages/admin/src/views/career/mock-practice/components/MockFeedbackModal.vue",12
"zh_e5be85e69fa5e79c","待查看学员","","packages/admin/src/views/career/mock-practice/components/MockFeedbackModal.vue",19
"zh_e5be85e8a1a5e585","待补充","","packages/admin/src/views/career/mock-practice/components/MockFeedbackModal.vue",32
"zh_e5afbce5b888e883","导师背景","","packages/admin/src/views/career/mock-practice/components/MockFeedbackModal.vue",35
"zh_e5b7b2e4b88ae8af","已上课时","","packages/admin/src/views/career/mock-practice/components/MockFeedbackModal.vue",39
"zh_e5b08fe697b6","小时","","packages/admin/src/views/career/mock-practice/components/MockFeedbackModal.vue",40
"zh_e58f8de9a688e691","反馈摘要","","packages/admin/src/views/career/mock-practice/components/MockFeedbackModal.vue",49
"zh_e69a82e697a0e58f","暂无反馈内容","","packages/admin/src/views/career/mock-practice/components/MockFeedbackModal.vue",50
"zh_e585b3e997ad","关闭","","packages/admin/src/views/career/mock-practice/components/MockFeedbackModal.vue",59
"zh_e5b7b2e5ae89e68e","已安排","","packages/admin/src/views/career/mock-practice/components/MockFeedbackModal.vue",98
"zh_e5be85e5a484e790","待处理","","packages/admin/src/views/career/mock-practice/components/MockFeedbackModal.vue",103
"zh_e69a82e697a0e8af","暂无评分","","packages/admin/src/views/career/mock-practice/components/MockFeedbackModal.vue",108
"zh_e6a8a1e68b9fe5ba","模拟应聘管理","","packages/admin/src/views/career/mock-practice/index.vue",4
"zh_e6909ce7b4a2e5ad","搜索学员姓名","","packages/admin/src/views/career/mock-practice/index.vue",17
"zh_e585a8e983a8e7b1","全部类型","","packages/admin/src/views/career/mock-practice/index.vue",18
"zh_e585a8e983a8e78a","全部状态","","packages/admin/src/views/career/mock-practice/index.vue",23
"zh_e5b7b2e5ae8ce688","已完成","","packages/admin/src/views/career/mock-practice/index.vue",26
"zh_e5b7b2e58f96e6b6","已取消","","packages/admin/src/views/career/mock-practice/index.vue",27
"zh_e5be85e58886e985","待分配导师","","packages/admin/src/views/career/mock-practice/index.vue",41
"zh_e585a8e983a8e8ae","全部记录","","packages/admin/src/views/career/mock-practice/index.vue",45
"zh_e4bba5e4b88be5ad","以下学员申请了模拟应聘，需要分配导师","","packages/admin/src/views/career/mock-practice/index.vue",54
"zh_e5bd93e5898de7ad","当前筛选条件下暂无待分配导师的申请","","packages/admin/src/views/career/mock-practice/index.vue",62
"zh_e69caae591bde590","未命名学员","","packages/admin/src/views/career/mock-practice/index.vue",70
"zh_e58886e9858de5af","分配导师","","packages/admin/src/views/career/mock-practice/index.vue",95
"zh_e5bd93e5898de7ad","当前筛选条件下暂无模拟应聘记录","","packages/admin/src/views/career/mock-practice/index.vue",110
"zh_e5be85e58886e985","待分配","","packages/admin/src/views/career/mock-practice/index.vue",142
"zh_e69a82e697a0e58f","暂无反馈","","packages/admin/src/views/career/mock-practice/index.vue",155
"zh_e69fa5e79c8be58f","查看反馈","","packages/admin/src/views/career/mock-practice/index.vue",156
"zh_e7b1bbe59e8b","类型","","packages/admin/src/views/career/mock-practice/index.vue",203
"zh_e794b3e8afb7e586","申请内容","","packages/admin/src/views/career/mock-practice/index.vue",204
"zh_e794b3e8afb7e697","申请时间","","packages/admin/src/views/career/mock-practice/index.vue",205
"zh_e8afbee7a88be58f","课程反馈","","packages/admin/src/views/career/mock-practice/index.vue",217
"zh_e58fafe58886e985","可分配导师","","packages/admin/src/views/career/mock-practice/index.vue",275
"zh_e6a8a1e68b9fe5ba","模拟应聘导师分配已完成","","packages/admin/src/views/career/mock-practice/index.vue",349
"zh_e69caae79fa5","未知","","packages/admin/src/views/career/mock-practice/index.vue",418
"zh_e5889ae5889a","刚刚","","packages/admin/src/views/career/mock-practice/index.vue",442
"zh_e5b08fe697b6e589","小时前","","packages/admin/src/views/career/mock-practice/index.vue",446
"zh_e5a4a9e5898d","天前","","packages/admin/src/views/career/mock-practice/index.vue",448
"zh_e5b297e4bd8de590","岗位名称","","packages/admin/src/views/career/positions/columns.ts",8
"zh_e585ace58fb8e8a1","公司行业","","packages/admin/src/views/career/positions/columns.ts",9
"zh_e5b297e4bd8de588","岗位分类","","packages/admin/src/views/career/positions/columns.ts",10
"zh_e59cb0e58cba","地区","","packages/admin/src/views/career/positions/columns.ts",11
"zh_e68b9be88198e591","招聘周期","","packages/admin/src/views/career/positions/columns.ts",12
"zh_e5b195e7a4bae8b5","展示起始","","packages/admin/src/views/career/positions/columns.ts",13
"zh_e688aae6ada2e697","截止时间","","packages/admin/src/views/career/positions/columns.ts",14
"zh_e68a95e98092e5ad","投递学员","","packages/admin/src/views/career/positions/columns.ts",16
"zh_e983a8e997a8","部门","","packages/admin/src/views/career/positions/components/PositionFormModal.vue",35
"zh_e9a1b9e79baee697","项目时间","","packages/admin/src/views/career/positions/components/PositionFormModal.vue",42
"zh_e5afb9e5ba94e5ad","对应学生主攻方向","","packages/admin/src/views/career/positions/components/PositionFormModal.vue",66
"zh_e585ace58fb8e590","公司名称","","packages/admin/src/views/career/positions/components/PositionFormModal.vue",86
"zh_e585ace58fb8e7b1","公司类别","","packages/admin/src/views/career/positions/components/PositionFormModal.vue",98
"zh_e5b297e4bd8de59c","岗位地区/城市","","packages/admin/src/views/career/positions/components/PositionFormModal.vue",105
"zh_e5b297e4bd8de59c","岗位地区","","packages/admin/src/views/career/positions/components/PositionFormModal.vue",107
"zh_e59f8ee5b882","城市","","packages/admin/src/views/career/positions/components/PositionFormModal.vue",114
"zh_e585ace58fb8e5ae","公司官网","","packages/admin/src/views/career/positions/components/PositionFormModal.vue",123
"zh_e5b297e4bd8de993","岗位链接","","packages/admin/src/views/career/positions/components/PositionFormModal.vue",128
"zh_e688aae6ada2e697","截止日期","","packages/admin/src/views/career/positions/components/PositionFormModal.vue",133
"zh_e688aae6ada2e696","截止文案","","packages/admin/src/views/career/positions/components/PositionFormModal.vue",144
"zh_e5b195e7a4bae697","展示时间","","packages/admin/src/views/career/positions/components/PositionFormModal.vue",152
"zh_e5bc80e5a78be697","开始时间/结束时间","","packages/admin/src/views/career/positions/components/PositionFormModal.vue",154
"zh_e5bc80e5a78be697","开始时间","","packages/admin/src/views/career/positions/components/PositionFormModal.vue",156
"zh_e7bb93e69d9fe697","结束时间","","packages/admin/src/views/career/positions/components/PositionFormModal.vue",168
"zh_e6b7bbe58aa0e4ba","添加人","","packages/admin/src/views/career/positions/components/PositionFormModal.vue",184
"zh_e68a95e98092e5a4","投递备注","","packages/admin/src/views/career/positions/components/PositionFormModal.vue",192
"zh_e68a95e98092e5a4","投递备注附件","","packages/admin/src/views/career/positions/components/PositionFormModal.vue",202
"zh_e794b3e8afb7e5ad","申请学员","","packages/admin/src/views/career/positions/components/PositionStudentsModal.vue",12
"zh_e4bba5e4b88be4b8","以下为该岗位的申请学员列表，求职状态由学员自行更新","","packages/admin/src/views/career/positions/components/PositionStudentsModal.vue",18
"zh_e6ada3e59ca8e58a","正在加载申请学员","","packages/admin/src/views/career/positions/components/PositionStudentsModal.vue",23
"zh_e5ada6e7949f","学生","","packages/admin/src/views/career/positions/components/PositionStudentsModal.vue",30
"zh_e5a793e5908d","姓名","","packages/admin/src/views/career/positions/components/PositionStudentsModal.vue",31
"zh_e5bd93e5898de5b2","当前岗位还没有可展示的申请学员数据","","packages/admin/src/views/career/positions/components/PositionStudentsModal.vue",54
"zh_e680bbe6b58fe8a7","总浏览","","packages/admin/src/views/career/positions/index.vue",15
"zh_e4b8bbe694bbe696","主攻方向","","packages/admin/src/views/career/positions/index.vue",439
"zh_e6b7bbe58aa0e697","添加日期","","packages/admin/src/views/career/positions/index.vue",445
"zh_e68b92e7bb9de5b2","拒绝岗位","","packages/admin/src/views/career/student-positions/components/RejectPositionModal.vue",12
"zh_e5bd93e5898de5ad","当前学生","","packages/admin/src/views/career/student-positions/components/RejectPositionModal.vue",17
"zh_e68b92e7bb9de590","拒绝后，该岗位不会加入公共岗位库，学生将收到审核结果通知","","packages/admin/src/views/career/student-positions/components/RejectPositionModal.vue",18
"zh_e68b92e7bb9de58e","拒绝原因","","packages/admin/src/views/career/student-positions/components/RejectPositionModal.vue",21
"zh_e8a1a5e58585e8af","补充说明","","packages/admin/src/views/career/student-positions/components/RejectPositionModal.vue",41
"zh_e58fafe98089efbc","可选，补充本次拒绝说明","","packages/admin/src/views/career/student-positions/components/RejectPositionModal.vue",50
"zh_e7a1aee8aea4e68b","确认拒绝","","packages/admin/src/views/career/student-positions/components/RejectPositionModal.vue",57
"zh_e5b297e4bd8de993","岗位链接无法访问","","packages/admin/src/views/career/student-positions/components/RejectPositionModal.vue",84
"zh_e585ace58fb8e5ae","公司官网无此岗位","","packages/admin/src/views/career/student-positions/components/RejectPositionModal.vue",85
"zh_e4bfa1e681afe4b8","信息与官方不符","","packages/admin/src/views/career/student-positions/components/RejectPositionModal.vue",86
"zh_e4b88ee78eb0e69c","与现有岗位重复","","packages/admin/src/views/career/student-positions/components/RejectPositionModal.vue",87
"zh_e585b6e4bb96","其他","","packages/admin/src/views/career/student-positions/components/RejectPositionModal.vue",88
"zh_e8afb7e98089e68b","请选择拒绝原因","","packages/admin/src/views/career/student-positions/components/RejectPositionModal.vue",108
"zh_e69caae591bde590","未命名学生","","packages/admin/src/views/career/student-positions/components/ReviewPositionModal.vue",19
"zh_e69c89e8be85e5af","有辅导申请","","packages/admin/src/views/career/student-positions/components/ReviewPositionModal.vue",25
"zh_e696b0e5a29ee585","新增公共岗位","","packages/admin/src/views/career/student-positions/components/ReviewPositionModal.vue",32
"zh_e59088e5b9b6e588","合并到已有岗位","","packages/admin/src/views/career/student-positions/components/ReviewPositionModal.vue",33
"zh_e6a380e6b58be588","检测到已有相同公司+岗位记录","","packages/admin/src/views/career/student-positions/components/ReviewPositionModal.vue",40
"zh_e5b7b2e69c89e5b2","已有岗位","","packages/admin/src/views/career/student-positions/components/ReviewPositionModal.vue",43
"zh_e5bbbae8aeae","建议","","packages/admin/src/views/career/student-positions/components/ReviewPositionModal.vue",43
"zh_e58887e68da2e588","切换到","","packages/admin/src/views/career/student-positions/components/ReviewPositionModal.vue",44
"zh_e59088e5b9b6e79b","合并目标岗位","","packages/admin/src/views/career/student-positions/components/ReviewPositionModal.vue",51
"zh_e68c89e585ace58f","按公司或岗位名搜索","","packages/admin/src/views/career/student-positions/components/ReviewPositionModal.vue",56
"zh_e59fbae69cace4bf","基本信息","","packages/admin/src/views/career/student-positions/components/ReviewPositionModal.vue",79
"zh_e8afb7e98089e68b","请选择","","packages/admin/src/views/career/student-positions/components/ReviewPositionModal.vue",86
"zh_e8a18ce4b89a","行业","","packages/admin/src/views/career/student-positions/components/ReviewPositionModal.vue",110
"zh_e98089e68ba9e688","选择截止时间","","packages/admin/src/views/career/student-positions/components/ReviewPositionModal.vue",122
"zh_e585ace58fb8e4bf","公司信息","","packages/admin/src/views/career/student-positions/components/ReviewPositionModal.vue",148
"zh_e5a4a7e58cba","大区","","packages/admin/src/views/career/student-positions/components/ReviewPositionModal.vue",165
"zh_e8afb7e58588e980","请先选择岗位地区","","packages/admin/src/views/career/student-positions/components/ReviewPositionModal.vue",176
"zh_e4bf9de5ad98e5b9","保存并通过","","packages/admin/src/views/career/student-positions/components/ReviewPositionModal.vue",216
"zh_e5ada6e7949fe887","学生自添岗位编辑","","packages/admin/src/views/career/student-positions/components/ReviewPositionModal.vue",352
